library_id	r1_stem	r2_stem
ERR1136718	ERR1136718_1	ERR1136718_2
ERR1136719	ERR1136719_1	ERR1136719_2
ERR1136720	ERR1136720_1	ERR1136720_2
ERR1136721	ERR1136721_1	ERR1136721_2
ERR1136722	ERR1136722_1	ERR1136722_2
ERR1136723	ERR1136723_1	ERR1136723_2
ERR1136724	ERR1136724_1	ERR1136724_2
ERR1136725	ERR1136725_1	ERR1136725_2
ERR1136726	ERR1136726_1	ERR1136726_2
ERR1136727	ERR1136727_1	ERR1136727_2
ERR1136728	ERR1136728_1	ERR1136728_2
ERR1136729	ERR1136729_1	ERR1136729_2
ERR1136730	ERR1136730_1	ERR1136730_2
ERR1136731	ERR1136731_1	ERR1136731_2
ERR1136732	ERR1136732_1	ERR1136732_2
ERR1136733	ERR1136733_1	ERR1136733_2
ERR1136734	ERR1136734_1	ERR1136734_2
ERR1136735	ERR1136735_1	ERR1136735_2
ERR1136736	ERR1136736_1	ERR1136736_2
ERR1136737	ERR1136737_1	ERR1136737_2
ERR1136738	ERR1136738_1	ERR1136738_2
ERR1136739	ERR1136739_1	ERR1136739_2
ERR1136740	ERR1136740_1	ERR1136740_2
ERR1136741	ERR1136741_1	ERR1136741_2
ERR1136742	ERR1136742_1	ERR1136742_2
ERR1136743	ERR1136743_1	ERR1136743_2
ERR1136744	ERR1136744_1	ERR1136744_2
ERR1136745	ERR1136745_1	ERR1136745_2
ERR1136746	ERR1136746_1	ERR1136746_2
ERR1136747	ERR1136747_1	ERR1136747_2
ERR1136748	ERR1136748_1	ERR1136748_2
ERR1136749	ERR1136749_1	ERR1136749_2
ERR1136750	ERR1136750_1	ERR1136750_2
ERR1136751	ERR1136751_1	ERR1136751_2
ERR1136752	ERR1136752_1	ERR1136752_2
ERR1136753	ERR1136753_1	ERR1136753_2
ERR1136754	ERR1136754_1	ERR1136754_2
ERR1136755	ERR1136755_1	ERR1136755_2
ERR1136756	ERR1136756_1	ERR1136756_2
ERR1136757	ERR1136757_1	ERR1136757_2
ERR1136758	ERR1136758_1	ERR1136758_2
ERR1136759	ERR1136759_1	ERR1136759_2
ERR1136760	ERR1136760_1	ERR1136760_2
ERR1136761	ERR1136761_1	ERR1136761_2
ERR1136762	ERR1136762_1	ERR1136762_2
ERR1136763	ERR1136763_1	ERR1136763_2
ERR1136764	ERR1136764_1	ERR1136764_2
ERR1136765	ERR1136765_1	ERR1136765_2
ERR1136766	ERR1136766_1	ERR1136766_2
ERR1136767	ERR1136767_1	ERR1136767_2
ERR1136768	ERR1136768_1	ERR1136768_2
ERR1136769	ERR1136769_1	ERR1136769_2
ERR1136770	ERR1136770_1	ERR1136770_2
ERR1136771	ERR1136771_1	ERR1136771_2
ERR1136772	ERR1136772_1	ERR1136772_2
ERR1136773	ERR1136773_1	ERR1136773_2
ERR1136774	ERR1136774_1	ERR1136774_2
ERR1136775	ERR1136775_1	ERR1136775_2
ERR1136776	ERR1136776_1	ERR1136776_2
ERR1136777	ERR1136777_1	ERR1136777_2
ERR1136778	ERR1136778_1	ERR1136778_2
ERR1136779	ERR1136779_1	ERR1136779_2
ERR1136780	ERR1136780_1	ERR1136780_2
ERR1136781	ERR1136781_1	ERR1136781_2
ERR1136782	ERR1136782_1	ERR1136782_2
ERR1136783	ERR1136783_1	ERR1136783_2
ERR1136784	ERR1136784_1	ERR1136784_2
ERR1136785	ERR1136785_1	ERR1136785_2
ERR1136786	ERR1136786_1	ERR1136786_2
ERR1136787	ERR1136787_1	ERR1136787_2
ERR1136788	ERR1136788_1	ERR1136788_2
ERR1136789	ERR1136789_1	ERR1136789_2
ERR1136790	ERR1136790_1	ERR1136790_2
ERR1136791	ERR1136791_1	ERR1136791_2
ERR1136792	ERR1136792_1	ERR1136792_2
ERR1136793	ERR1136793_1	ERR1136793_2
ERR1136794	ERR1136794_1	ERR1136794_2
ERR1136795	ERR1136795_1	ERR1136795_2
ERR1136796	ERR1136796_1	ERR1136796_2
ERR1136797	ERR1136797_1	ERR1136797_2
ERR1136798	ERR1136798_1	ERR1136798_2
ERR1136799	ERR1136799_1	ERR1136799_2
ERR1136800	ERR1136800_1	ERR1136800_2
ERR1136801	ERR1136801_1	ERR1136801_2
ERR1136802	ERR1136802_1	ERR1136802_2
ERR1136803	ERR1136803_1	ERR1136803_2
ERR1136804	ERR1136804_1	ERR1136804_2
ERR1136805	ERR1136805_1	ERR1136805_2
ERR1136806	ERR1136806_1	ERR1136806_2
ERR1136807	ERR1136807_1	ERR1136807_2
ERR1136808	ERR1136808_1	ERR1136808_2
ERR1136809	ERR1136809_1	ERR1136809_2
ERR1136810	ERR1136810_1	ERR1136810_2
ERR1136811	ERR1136811_1	ERR1136811_2
ERR1136812	ERR1136812_1	ERR1136812_2
ERR1136813	ERR1136813_1	ERR1136813_2
ERR1136814	ERR1136814_1	ERR1136814_2
ERR1136815	ERR1136815_1	ERR1136815_2
ERR1136816	ERR1136816_1	ERR1136816_2
ERR1136817	ERR1136817_1	ERR1136817_2
ERR1136818	ERR1136818_1	ERR1136818_2
ERR1136819	ERR1136819_1	ERR1136819_2
ERR1136820	ERR1136820_1	ERR1136820_2
ERR1136821	ERR1136821_1	ERR1136821_2
ERR1136822	ERR1136822_1	ERR1136822_2
ERR1136823	ERR1136823_1	ERR1136823_2
ERR1136824	ERR1136824_1	ERR1136824_2
ERR1136825	ERR1136825_1	ERR1136825_2
ERR1136826	ERR1136826_1	ERR1136826_2
ERR1136827	ERR1136827_1	ERR1136827_2
ERR1136828	ERR1136828_1	ERR1136828_2
ERR1136829	ERR1136829_1	ERR1136829_2
ERR1136830	ERR1136830_1	ERR1136830_2
ERR1136831	ERR1136831_1	ERR1136831_2
ERR1136832	ERR1136832_1	ERR1136832_2
ERR1136833	ERR1136833_1	ERR1136833_2
ERR1136834	ERR1136834_1	ERR1136834_2
ERR1136835	ERR1136835_1	ERR1136835_2
ERR1136836	ERR1136836_1	ERR1136836_2
ERR1136837	ERR1136837_1	ERR1136837_2
ERR1136838	ERR1136838_1	ERR1136838_2
ERR1136839	ERR1136839_1	ERR1136839_2
ERR1136840	ERR1136840_1	ERR1136840_2
ERR1136841	ERR1136841_1	ERR1136841_2
ERR1136842	ERR1136842_1	ERR1136842_2
ERR1136843	ERR1136843_1	ERR1136843_2
ERR1136844	ERR1136844_1	ERR1136844_2
ERR1136845	ERR1136845_1	ERR1136845_2
ERR1136846	ERR1136846_1	ERR1136846_2
ERR1136847	ERR1136847_1	ERR1136847_2
ERR1136848	ERR1136848_1	ERR1136848_2
ERR1136849	ERR1136849_1	ERR1136849_2
ERR1136850	ERR1136850_1	ERR1136850_2
ERR1136851	ERR1136851_1	ERR1136851_2
ERR1136852	ERR1136852_1	ERR1136852_2
ERR1136853	ERR1136853_1	ERR1136853_2
ERR1136854	ERR1136854_1	ERR1136854_2
ERR1136855	ERR1136855_1	ERR1136855_2
ERR1136856	ERR1136856_1	ERR1136856_2
ERR1136857	ERR1136857_1	ERR1136857_2
ERR1136858	ERR1136858_1	ERR1136858_2
ERR1136859	ERR1136859_1	ERR1136859_2
ERR1136860	ERR1136860_1	ERR1136860_2
ERR1136861	ERR1136861_1	ERR1136861_2
ERR1136862	ERR1136862_1	ERR1136862_2
ERR1136863	ERR1136863_1	ERR1136863_2
ERR1136864	ERR1136864_1	ERR1136864_2
ERR1136865	ERR1136865_1	ERR1136865_2
ERR1136866	ERR1136866_1	ERR1136866_2
ERR1136867	ERR1136867_1	ERR1136867_2
ERR1136868	ERR1136868_1	ERR1136868_2
ERR1136869	ERR1136869_1	ERR1136869_2
ERR1136870	ERR1136870_1	ERR1136870_2
ERR1136871	ERR1136871_1	ERR1136871_2
ERR1136872	ERR1136872_1	ERR1136872_2
ERR1136873	ERR1136873_1	ERR1136873_2
ERR1136874	ERR1136874_1	ERR1136874_2
ERR1136875	ERR1136875_1	ERR1136875_2
ERR1136876	ERR1136876_1	ERR1136876_2
ERR1136877	ERR1136877_1	ERR1136877_2
ERR1136878	ERR1136878_1	ERR1136878_2
ERR1136879	ERR1136879_1	ERR1136879_2
ERR1136880	ERR1136880_1	ERR1136880_2
ERR1136881	ERR1136881_1	ERR1136881_2
ERR1136882	ERR1136882_1	ERR1136882_2
ERR1136883	ERR1136883_1	ERR1136883_2
ERR1136884	ERR1136884_1	ERR1136884_2
ERR1136885	ERR1136885_1	ERR1136885_2
ERR1136886	ERR1136886_1	ERR1136886_2
ERR1136887	ERR1136887_1	ERR1136887_2
ERR1136888	ERR1136888_1	ERR1136888_2
ERR1136889	ERR1136889_1	ERR1136889_2
ERR1136890	ERR1136890_1	ERR1136890_2
ERR1136891	ERR1136891_1	ERR1136891_2
ERR1136892	ERR1136892_1	ERR1136892_2
ERR1136893	ERR1136893_1	ERR1136893_2
ERR1136894	ERR1136894_1	ERR1136894_2
ERR1136895	ERR1136895_1	ERR1136895_2
ERR1136896	ERR1136896_1	ERR1136896_2
ERR1136897	ERR1136897_1	ERR1136897_2
ERR1136898	ERR1136898_1	ERR1136898_2
ERR1136899	ERR1136899_1	ERR1136899_2
ERR1136900	ERR1136900_1	ERR1136900_2
ERR1136901	ERR1136901_1	ERR1136901_2
ERR1136902	ERR1136902_1	ERR1136902_2
ERR1136903	ERR1136903_1	ERR1136903_2
ERR1136904	ERR1136904_1	ERR1136904_2
ERR1136905	ERR1136905_1	ERR1136905_2
ERR1136906	ERR1136906_1	ERR1136906_2
ERR1136907	ERR1136907_1	ERR1136907_2
ERR1136908	ERR1136908_1	ERR1136908_2
ERR1136909	ERR1136909_1	ERR1136909_2
ERR1136910	ERR1136910_1	ERR1136910_2
ERR1136911	ERR1136911_1	ERR1136911_2
ERR1136912	ERR1136912_1	ERR1136912_2
ERR1136913	ERR1136913_1	ERR1136913_2
ERR1136914	ERR1136914_1	ERR1136914_2
ERR1136915	ERR1136915_1	ERR1136915_2
ERR1136916	ERR1136916_1	ERR1136916_2
ERR1136917	ERR1136917_1	ERR1136917_2
ERR1136918	ERR1136918_1	ERR1136918_2
ERR1136919	ERR1136919_1	ERR1136919_2
ERR1136920	ERR1136920_1	ERR1136920_2
ERR1136921	ERR1136921_1	ERR1136921_2
ERR1136922	ERR1136922_1	ERR1136922_2
